# RTL_ID 21041400
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: illegal.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             396   E   00001838   00000013   00000500   mstatus    00001800
             396   E   00001838   00000013   00000500   mepc       00001838
             396   E   00001838   00000013   00000500   mcause     0000000b
             396   E   00001838   00000013   00000500   mtval      00000000
             399   N   00000500   000047a1   00000504   x14_a4     0000000b
             400   N   00000504   04f70263   00000506   x15_a5     00000008
             401   N   00000506   000047a5   0000050a   ---        --------
             402   N   0000050a   02f70f63   0000050c   x15_a5     00000009
             403   N   0000050c   000047ad   00000510   ---        --------
             404   N   00000510   02f70c63   00000512   x15_a5     0000000b
             405   N   00000512   47ad0837   0000054a   ---        --------
             409   N   0000054a   08370013   00001ae0   ---        --------
             412   N   00001ae0   61428293   00001ae4   x05_t0     fffffae0
             413   N   00001ae4   00008282   00001ae8   x05_t0     000000f4
             414   N   00001ae8   00000013   000000f4   ---        --------
             417   N   000000f4   0000006f   000000f8   ---        --------
             418   N   000000f8   ffffffff   000000f8   ---        --------
